Ticker,Expiration,TimeToMaturity,Strike,OptionType,LastPrice,Bid,Ask,Volume,OpenInterest,ImpliedVolatility,BisectionIV,BisectionTime,NewtonIV,NewtonTime,SecantIV,SecantTime,Delta_bs,Gamma_bs,Vega_bs,Delta_fd,Gamma_fd,Vega_fd,Parity_price,Bs_price,InTheMoney
NVDA,2025-02-21,0.019178,0.5,Call,130.7,134.9,135.45,64,34664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.249,True
NVDA,2025-02-21,0.019178,1,Call,132.49,134.3,134.9,1,389,28.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,133.749,True
NVDA,2025-02-21,0.019178,1.5,Call,132.4,133.9,134.45,80,118,22.5156,0,0,0,0,0,0,0,0,0,0,0,0,0,133.25,True
NVDA,2025-02-21,0.019178,2,Call,132.7,133.3,133.85,80,56,18.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,132.75,True
NVDA,2025-02-21,0.019178,2.5,Call,132.15,132.8,133.35,80,54,16.9844,0,0,0,0,0,0,0,0,0,0,0,0,0,132.25,True
NVDA,2025-02-21,0.019178,3,Call,128.69,132.25,132.8,39,173,15.4844,0,0,0,0,0,0,0,0,0,0,0,0,0,131.751,True
NVDA,2025-02-21,0.019178,3.5,Call,123.95,131.8,132.35,6,6,14.8203,0,0,0,0,0,0,0,0,0,0,0,0,0,131.251,True
NVDA,2025-02-21,0.019178,4,Call,122.6,131.4,131.95,1,6,14.4922,0,0,0,0,0,0,0,0,0,0,0,0,0,130.752,True
NVDA,2025-02-21,0.019178,4.5,Call,118.7,131.05,131.6,14,13,14.3906,0,0,0,0,0,0,0,0,0,0,0,0,0,130.252,True
NVDA,2025-02-21,0.019178,5,Call,118.75,130.4,130.95,2,381,13.2266,0,0,0,0,0,0,0,0,0,0,0,0,0,129.752,True
NVDA,2025-02-21,0.019178,10,Call,869.42,873.45,885.05,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.756,True
NVDA,2025-02-21,0.019178,15,Call,869.93,868.7,879.55,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.76,True
NVDA,2025-02-21,0.019178,20,Call,111.88,115.45,115.95,10,362,7.07422,0,0,0,0,0,0,0,0,0,0,0,0,0,114.764,True
NVDA,2025-02-21,0.019178,21,Call,113.28,114.65,115.15,6,105,7.17578,0,0,0,0,0,0,0,0,0,0,0,0,0,113.765,True
NVDA,2025-02-21,0.019178,22,Call,109,113.4,113.95,14,304,6.67383,0,0,0,0,0,0,0,0,0,0,0,0,0,112.766,True
NVDA,2025-02-21,0.019178,23,Call,111.45,112.35,112.9,160,106,6.4336,0,0,0,0,0,0,0,0,0,0,0,0,0,111.767,True
NVDA,2025-02-21,0.019178,24,Call,106.5,111.4,111.9,10,90,6.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,110.768,True
NVDA,2025-02-21,0.019178,25,Call,109.35,110.4,110.95,80,214,6.19727,0,0,0,0,0,0,0,0,0,0,0,0,0,109.769,True
NVDA,2025-02-21,0.019178,26,Call,107.95,109.6,110.15,6,130,6.3086,0,0,0,0,0,0,0,0,0,0,0,0,0,108.769,True
NVDA,2025-02-21,0.019178,27,Call,95.81,108.6,109.15,1,105,6.16406,0,0,0,0,0,0,0,0,0,0,0,0,0,107.77,True
NVDA,2025-02-21,0.019178,28,Call,101.93,107.4,107.95,2,159,5.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,106.771,True
NVDA,2025-02-21,0.019178,29,Call,105.35,106.35,106.9,80,151,5.58985,0,0,0,0,0,0,0,0,0,0,0,0,0,105.772,True
NVDA,2025-02-21,0.019178,30,Call,102.8,105.6,106.15,10,701,5.76563,0,0,0,0,0,0,0,0,0,0,0,0,0,104.773,True
NVDA,2025-02-21,0.019178,31,Call,103.35,104.4,105,80,360,5.44532,0,0,0,0,0,0,0,0,0,0,0,0,0,103.773,True
NVDA,2025-02-21,0.019178,32,Call,86.79,103.45,104,2,138,5.35938,0,0,0,0,0,0,0,0,0,0,0,0,0,102.774,True
NVDA,2025-02-21,0.019178,33,Call,101.22,102.45,103,164,509,5.24805,0,0,0,0,0,0,0,0,0,0,0,0,0,101.775,True
NVDA,2025-02-21,0.019178,34,Call,92.53,101.5,102.05,1,168,5.19336,0,0,0,0,0,0,0,0,0,0,0,0,0,100.776,True
NVDA,2025-02-21,0.019178,35,Call,99.25,100.3,100.85,80,537,4.86719,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7766,True
NVDA,2025-02-21,0.019178,36,Call,97.45,99.4,99.95,80,232,4.88282,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7774,True
NVDA,2025-02-21,0.019178,37,Call,97.45,98.4,98.95,80,131,4.78516,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7782,True
NVDA,2025-02-21,0.019178,38,Call,95.5,97.45,98,80,89,4.74219,0,0,0,0,0,0,0,0,0,0,0,0,0,96.779,True
NVDA,2025-02-21,0.019178,39,Call,83.63,96.3,96.85,5,128,4.49415,0,0,0,0,0,0,0,0,0,0,0,0,0,95.7798,True
NVDA,2025-02-21,0.019178,40,Call,91.35,95.45,96,74,601,4.56055,0,0,0,0,0,0,0,0,0,0,0,0,0,94.7806,True
NVDA,2025-02-21,0.019178,41,Call,79.08,94.45,95,24,303,4.47461,0,0,0,0,0,0,0,0,0,0,0,0,0,93.7814,True
NVDA,2025-02-21,0.019178,42,Call,87.35,93.4,94,2,80,4.36524,0,0,0,0,0,0,0,0,0,0,0,0,0,92.7822,True
NVDA,2025-02-21,0.019178,43,Call,90.9,92.45,93,10,122,4.30665,0,0,0,0,0,0,0,0,0,0,0,0,0,91.783,True
NVDA,2025-02-21,0.019178,44,Call,90.11,91.45,91.9,5,102,4.17969,0,0,0,0,0,0,0,0,0,0,0,0,0,90.7838,True
NVDA,2025-02-21,0.019178,45,Call,88.83,90.35,90.9,1,444,4.05469,0,0,0,0,0,0,0,0,0,0,0,0,0,89.7847,True
NVDA,2025-02-21,0.019178,46,Call,88.3,89.45,90,80,266,4.07032,0,0,0,0,0,0,0,0,0,0,0,0,0,88.7855,True
NVDA,2025-02-21,0.019178,47,Call,86.11,88.45,89,5,259,3.99512,0,0,0,0,0,0,0,0,0,0,0,0,0,87.7863,True
NVDA,2025-02-21,0.019178,48,Call,86.3,87.4,88,80,134,3.90039,0,0,0,0,0,0,0,0,0,0,0,0,0,86.7871,True
NVDA,2025-02-21,0.019178,49,Call,71.21,86.45,87,40,221,3.84961,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7879,True
NVDA,2025-02-21,0.019178,50,Call,84.52,85.3,85.9,1,458,3.67285,0,0,0,0,0,0,0,0,0,0,0,0,0,84.7887,True
NVDA,2025-02-21,0.019178,51,Call,75.98,84.45,85,4,245,3.71094,0,0,0,0,0,0,0,0,0,0,0,0,0,83.7895,True
NVDA,2025-02-21,0.019178,52,Call,71.38,83.45,84,5,292,3.64356,0,0,0,0,0,0,0,0,0,0,0,0,0,82.7903,True
NVDA,2025-02-21,0.019178,53,Call,68.3,82.65,83.2,1,190,3.72559,0,0,0,0,0,0,0,0,0,0,0,0,0,81.7911,True
NVDA,2025-02-21,0.019178,54,Call,80.4,81.6,82.15,20,183,3.62305,0,0,0,0,0,0,0,0,0,0,0,0,0,80.7919,True
NVDA,2025-02-21,0.019178,55,Call,72,80.35,80.95,2,387,3.39063,0,0,0,0,0,0,0,0,0,0,0,0,0,79.7927,True
NVDA,2025-02-21,0.019178,56,Call,78,79.4,79.95,3,346,3.34961,0,0,0,0,0,0,0,0,0,0,0,0,0,78.7935,True
NVDA,2025-02-21,0.019178,57,Call,77.3,78.45,79,18,1543,3.32617,0,0,0,0,0,0,0,0,0,0,0,0,0,77.7943,True
NVDA,2025-02-21,0.019178,58,Call,75.63,77.45,77.95,4,350,3.24805,0,0,0,0,0,0,0,0,0,0,0,0,0,76.7952,True
NVDA,2025-02-21,0.019178,59,Call,75.6,76.45,77.05,20,1201,3.22461,0,0,0,0,0,0,0,0,0,0,0,0,0,75.796,True
NVDA,2025-02-21,0.019178,60,Call,73.8,75.45,76,129,1649,3.14844,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7968,True
NVDA,2025-02-21,0.019178,60.5,Call,73.8,74.95,75.5,64,909,3.12012,0,0,0,0,0,0,0,0,0,0,0,0,0,74.2972,True
NVDA,2025-02-21,0.019178,61,Call,73.59,74.45,74.95,20,555,3.07422,0,0,0,0,0,0,0,0,0,0,0,0,0,73.7976,True
