Ticker,Expiration,TimeToMaturity,Strike,OptionType,LastPrice,Bid,Ask,Volume,OpenInterest,ImpliedVolatility,BisectionIV,BisectionTime,NewtonIV,NewtonTime,SecantIV,SecantTime,Delta_bs,Gamma_bs,Vega_bs,Delta_fd,Gamma_fd,Vega_fd,Parity_price,Bs_price,InTheMoney
SPY,2025-02-21,0.021918,300,Call,298.74,301.77,302.49,10,862,1e-05,0.0001,0.002934,-9.0406e+12,0.001084,0.559327,0.002231,1,0,0,1,0,0,303.908,0,True
SPY,2025-02-21,0.021918,305,Call,289.01,296.85,297.77,31,282,1e-05,0.0001,0.000743,-340299,0.000664,2417.22,0.003046,1,0,0,1,0,0,298.913,0,True
SPY,2025-02-21,0.021918,310,Call,290.01,291.87,292.57,16,26,1e-05,0.0001,0.000546,-27073.4,0.00063,606.297,0.00296,1,0,0,1,0,0,293.917,0,True
SPY,2025-02-21,0.021918,315,Call,278.78,286.78,287.58,14,259,1e-05,0.0001,0.000459,-2475.39,0.000593,163.65,0.003288,1,0,0,1,0,0,288.932,0,True
SPY,2025-02-21,0.021918,320,Call,284.03,281.74,282.53,6,154,1e-05,0.0001,0.000553,2.31246e+286,0.000873,0.173886,0.002973,1,0,0,1,0,0,283.927,0,True
SPY,2025-02-21,0.021918,325,Call,268.58,276.95,278.38,0,222,1e-05,0.0001,0.000477,9.10109e+290,0.001749,219.035,0.007865,1,0,0,1,0,0,278.931,0,True
SPY,2025-02-21,0.021918,330,Call,263.12,271.95,273.21,148,151,1e-05,0.0001,0.000555,-8028.95,0.001727,206.018,0.007837,1,0,0,1,0,0,273.936,0,True
SPY,2025-02-21,0.021918,335,Call,259.11,266.97,268.21,148,148,1e-05,0.0001,0.000469,32485.3,0.001247,0.421994,0.008589,1,0,0,1,0,0,268.94,0,True
SPY,2025-02-21,0.021918,340,Call,250.16,261.32,263.24,0,421,1e-05,0.0001,0.000464,-530029,0.001674,3644.47,0.006542,1,0,0,1,0,0,263.945,0,True
SPY,2025-02-21,0.021918,345,Call,248.43,257,258.24,148,148,1e-05,0.0001,0.000456,4095.28,0.000809,0.242331,0.002346,1,0,0,1,0,0,258.95,0,True
SPY,2025-02-21,0.021918,350,Call,260.09,251.84,252.62,3,158,1e-05,0.0001,0.000469,9.33816e+12,0.001369,110.127,0.008138,1,0,0,1,0,0,253.954,0,True
SPY,2025-02-21,0.021918,355,Call,237.76,247.03,248.25,0,449,1e-05,0.0001,0.000465,nan,0.012504,0.531681,0.002309,1,0,0,1,0,0,248.959,0,True
SPY,2025-02-21,0.021918,360,Call,232.89,242.04,243.93,0,76,1.31055,0.0001,0.00057,-50674.2,0.000831,0.0959264,0.00419,1,0,0,1,0,0,243.964,0,True
SPY,2025-02-21,0.021918,365,Call,239.94,236.87,237.66,1,5,1e-05,0.0001,0.000464,4.10103e+29,0.000806,0.290279,0.002252,1,0,0,1,0,0,238.968,0,True
SPY,2025-02-21,0.021918,370,Call,223.08,231.4,234.03,74,75,1.2959,0.0001,0.000456,-2.7022e+06,0.000788,0.341975,0.003934,1,0,0,1,0,0,233.973,0,True
SPY,2025-02-21,0.021918,375,Call,229.57,226.98,227.66,2,75,1e-05,0.0001,0.000457,-2.32497e+36,0.00079,0.530752,0.002238,1,0,0,1,0,0,228.978,0,True
SPY,2025-02-21,0.021918,380,Call,214.33,222.11,223.35,0,74,1e-05,0.0001,0.000454,-640.004,0.000813,0.132093,0.004185,1,0,0,1,0,0,223.982,0,True
SPY,2025-02-21,0.021918,385,Call,193.88,216.9,217.61,40,115,1e-05,0.0001,0.000444,-4.91677e+09,0.000816,1.2536e+07,0.003196,1,0,0,1,0,0,218.987,0,True
SPY,2025-02-21,0.021918,390,Call,213.77,215.32,218.53,0,2,1.67456,1.83268,0.004602,1.83268,0.000912,1.83268,0.001967,0.959851,0.000527762,7.72421,0.959851,0.000525802,7.72421,213.991,0,True
SPY,2025-02-21,0.021918,395,Call,210.29,207,207.67,1,167,1e-05,0.0001,0.000593,-2016.31,0.000816,0.304273,0.003979,1,0,0,1,0,0,209.016,0,True
SPY,2025-02-21,0.021918,400,Call,205.66,202.19,202.93,2,16,1e-05,0.0001,0.000459,-1.20426e+73,0.001241,98.4051,0.005284,1,0,0,1,0,0,204.001,0,True
SPY,2025-02-21,0.021918,405,Call,199,197.03,197.7,16,62,1e-05,0.0001,0.000577,2.62637e+06,0.001096,-17407.6,0.004978,1,0,0,1,0,0,199.005,0,True
SPY,2025-02-21,0.021918,410,Call,192.5,191.93,192.72,1,25,1e-05,0.0001,0.000558,819.726,0.001081,0.21634,0.004882,1,0,0,1,0,0,194.02,0,True
SPY,2025-02-21,0.021918,415,Call,184.35,187.2,187.89,4,73,1e-05,0.0001,0.000417,-3572.33,0.002927,0.106517,0.006737,1,0,0,1,0,0,189.015,0,True
SPY,2025-02-21,0.021918,420,Call,168.2,181.69,184.11,2,8,1.01661,0.0001,0.000454,240775,0.001019,0.424996,0.002496,1,0,0,1,0,0,184.029,0,True
SPY,2025-02-21,0.021918,425,Call,173.97,177.26,177.83,15,20,1e-05,0.0001,0.000429,-865.356,0.001816,0.021923,0.002561,1,0,0,1,0,0,179.034,0,True
SPY,2025-02-21,0.021918,430,Call,175.86,171.92,172.66,3,42,1e-05,0.0001,0.000488,2.0537e+19,0.00394,0.0791219,0.005731,1,0,0,1,0,0,174.048,0,True
SPY,2025-02-21,0.021918,435,Call,168.08,167.06,167.74,4,22,1e-05,0.0001,0.000403,-84264,0.00185,-23416.5,0.006591,1,0,0,1,0,0,169.053,0,True
SPY,2025-02-21,0.021918,440,Call,164.68,162.09,162.75,1,876,1e-05,0.0001,0.000412,-7.56997,0.02049,0.0162168,0.002758,1,0,0,1,0,0,164.058,0,True
SPY,2025-02-21,0.021918,445,Call,154.83,157.14,157.69,2,25,1e-05,0.0001,0.000445,2.67118e+12,0.001453,0.053405,0.002447,1,0,0,1,0,0,159.062,0,True
SPY,2025-02-21,0.021918,450,Call,151.63,152.1,152.84,5,57,1e-05,0.0001,0.000496,-1.95877e+280,0.001283,0.13983,0.002575,1,0,0,1,0,0,154.067,0,True
SPY,2025-02-21,0.021918,455,Call,150.48,147.11,147.8,5,53,1e-05,0.0001,0.000411,3768.4,0.001036,0.143517,0.002551,1,0,0,1,0,0,149.082,0,True
SPY,2025-02-21,0.021918,460,Call,142.24,142.05,142.71,5,87,1e-05,0.0001,0.000421,1049.07,0.001036,0.0908942,0.002601,1,0,0,1,0,0,144.086,0,True
SPY,2025-02-21,0.021918,465,Call,135,137.14,137.83,2,24,1e-05,0.0001,0.000433,5.42386e+12,0.001024,0.185,0.002525,1,0,0,1,0,0,139.091,0,True
SPY,2025-02-21,0.021918,470,Call,131.63,132.37,132.99,1,30,1e-05,0.0001,0.000535,-8.55746e+121,0.001042,6.65544e+10,0.003378,1,0,0,1,0,0,134.106,0,True
SPY,2025-02-21,0.021918,475,Call,124.84,127.36,127.78,6,56,1e-05,0.0001,0.00041,-0.0125249,0.000811,0.23851,0.002477,1,0,0,1,0,0,129.13,0,True
SPY,2025-02-21,0.021918,480,Call,121.25,122.09,122.85,2,56,1e-05,0.0001,0.000421,6.38151e+67,0.001033,0.168659,0.002544,1,0,0,1,0,0,124.135,0,True
SPY,2025-02-21,0.021918,485,Call,120.6,117.18,117.85,2,54,1e-05,0.0001,0.000426,-0.0118382,0.000829,0.187799,0.002478,1,0,0,1,0,0,119.139,0,True
SPY,2025-02-21,0.021918,490,Call,112.11,112.06,112.86,3,17,1e-05,0.0001,0.00041,1.31315e+232,0.001038,0.143761,0.002435,1,0,0,1,0,0,114.144,0,True
SPY,2025-02-21,0.021918,495,Call,110.55,107.38,108.02,2,30,1e-05,0.0001,0.000483,-7.18062e+15,0.001054,38670.3,0.003371,1,0,0,1,0,0,109.169,0,True
SPY,2025-02-21,0.021918,500,Call,101.11,102.4,102.9,1,591,1e-05,0.0001,0.00044,-1.37876e+24,0.001003,0.215182,0.002463,1,0,0,1,0,0,104.163,0,True
SPY,2025-02-21,0.021918,505,Call,100.76,97.23,97.86,3,670,1e-05,0.0001,0.000387,-2.61066e+143,0.000992,0.142316,0.002364,1,0,0,1,0,0,99.178,0,True
SPY,2025-02-21,0.021918,510,Call,90.76,92.15,92.87,30,946,1e-05,0.0001,0.000383,0.019373,0.000805,0.103191,0.002372,1,0,0,1,0,0,94.2026,0,True
SPY,2025-02-21,0.021918,515,Call,89.76,87.18,87.84,1,275,1e-05,0.0001,0.000385,0.012055,0.000798,0.0802686,0.002379,1,0,0,1,0,0,89.1972,0,True
SPY,2025-02-21,0.021918,520,Call,81.84,82.31,82.96,41,388,1e-05,0.0001,0.000364,-9.75884e+39,0.001003,0.116304,0.002375,1,0,0,1,0,0,84.2219,0,True
SPY,2025-02-21,0.021918,525,Call,76.34,77.31,77.97,2,353,1e-05,0.0001,0.000449,-5.39631e+53,0.000971,0.0910372,0.002355,1,0,0,1,0,0,79.2465,0,True
SPY,2025-02-21,0.021918,526,Call,76.33,76.13,76.94,2,10,1e-05,0.0001,0.000359,-0.00258625,0.000782,0.0345291,0.002564,1,0,0,1,0,0,78.2474,0,True
SPY,2025-02-21,0.021918,527,Call,73.42,75.11,76.05,1,200,1e-05,0.0001,0.00037,0.0197554,0.000861,0.0508803,0.002377,1,0,0,1,0,0,77.2584,0,True
SPY,2025-02-21,0.021918,528,Call,77.83,74.09,74.95,1,659,1e-05,0.0001,0.000369,-0.0191111,0.000865,0.0150487,0.002282,1,0,0,1,0,0,76.2393,0,True
SPY,2025-02-21,0.021918,529,Call,65.27,0,0,5,203,1e-05,0.0001,0.000375,-5.15978e+49,0.005948,-2.02067e-05,0.007385,1,0,0,1,0,0,75.2402,0,True
